Time,ID,Grade,A,B,C,D,F,N
2020-02-25 15:34:54,000944.jpg,B,0.01,0.96,0.03,0.00,0.00,0.00
2020-02-25 15:40:31,000945.jpg,B,0.01,0.94,0.02,0.01,0.02,0.00
2020-02-25 16:51:41,000949.jpg,B,0.10,0.68,0.12,0.05,0.04,0.01
2020-02-25 17:04:06,000950.jpg,B,0.15,0.26,0.26,0.11,0.08,0.14
2020-02-25 17:10:39,000951.jpg,D,0.00,0.05,0.38,0.55,0.02,0.00
2020-02-25 17:14:41,000952.jpg,A,0.50,0.38,0.11,0.00,0.00,0.00
2020-02-25 17:16:15,000953.jpg,C,0.00,0.33,0.55,0.11,0.00,0.00
2020-02-25 17:20:35,000954.jpg,B,0.17,0.48,0.34,0.01,0.00,0.00
2020-02-25 17:26:13,000955.jpg,A,0.90,0.10,0.00,0.00,0.00,0.00
2020-02-25 17:31:32,000956.jpg,B,0.20,0.73,0.04,0.01,0.02,0.00
2020-02-25 17:32:31,000957.jpg,C,0.00,0.01,0.93,0.06,0.00,0.00
2020-02-25 17:34:54,000958.jpg,B,0.09,0.71,0.19,0.00,0.00,0.00
2020-02-25 17:42:32,000959.jpg,C,0.00,0.01,0.91,0.08,0.01,0.00
2020-02-25 17:42:38,000960.jpg,C,0.23,0.28,0.44,0.05,0.01,0.00
2020-02-25 17:42:45,000961.jpg,B,0.05,0.68,0.21,0.04,0.01,0.00
2020-02-25 17:42:51,000962.jpg,B,0.45,0.51,0.03,0.00,0.00,0.00
2020-02-25 17:43:00,000963.jpg,C,0.00,0.03,0.87,0.07,0.03,0.00
2020-02-25 17:43:36,000964.jpg,B,0.04,0.69,0.20,0.06,0.01,0.00
2020-02-25 17:43:40,000965.jpg,A,0.88,0.11,0.01,0.00,0.00,0.00
2020-02-25 17:43:54,000966.jpg,B,0.20,0.41,0.33,0.06,0.01,0.00
2020-02-25 17:44:02,000967.jpg,B,0.01,0.52,0.44,0.03,0.01,0.00
2020-02-25 17:44:10,000968.jpg,B,0.36,0.58,0.06,0.00,0.00,0.00
2020-02-25 17:44:21,000969.jpg,A,0.60,0.36,0.03,0.00,0.00,0.00
2020-02-25 17:45:37,000970.jpg,C,0.00,0.12,0.81,0.06,0.00,0.00
2020-02-25 17:45:45,000971.jpg,C,0.00,0.02,0.54,0.40,0.04,0.00
2020-02-25 17:45:50,000972.jpg,C,0.00,0.01,0.59,0.38,0.01,0.00
2020-02-25 17:46:04,000973.jpg,B,0.05,0.87,0.07,0.01,0.00,0.00
2020-02-25 17:46:26,000974.jpg,D,0.00,0.00,0.06,0.83,0.10,0.00
2020-02-25 17:47:20,000975.jpg,C,0.00,0.24,0.54,0.17,0.06,0.00
2020-02-25 17:49:28,000976.jpg,B,0.07,0.81,0.12,0.00,0.00,0.00
2020-02-25 17:50:45,000977.jpg,D,0.00,0.13,0.35,0.49,0.03,0.00
2020-02-25 17:51:43,000978.jpg,B,0.11,0.56,0.32,0.01,0.00,0.00
2020-02-25 17:52:30,000979.jpg,C,0.00,0.21,0.77,0.02,0.00,0.00
2020-02-25 17:54:34,000980.jpg,B,0.00,0.55,0.41,0.02,0.01,0.00
2020-02-25 18:00:06,000981.jpg,B,0.01,0.37,0.21,0.25,0.16,0.01
2020-02-25 18:01:45,000982.jpg,D,0.01,0.11,0.36,0.47,0.05,0.00
2020-02-25 18:02:02,000983.jpg,C,0.03,0.16,0.62,0.18,0.01,0.00
2020-02-25 18:04:37,000984.jpg,B,0.10,0.74,0.05,0.11,0.00,0.00
2020-02-25 18:06:30,000985.jpg,B,0.04,0.85,0.09,0.02,0.00,0.00
2020-02-25 18:07:30,000986.jpg,D,0.04,0.27,0.30,0.39,0.00,0.00
2020-02-25 18:09:33,000987.jpg,A,0.70,0.30,0.00,0.00,0.00,0.00
