Time,ID,Grade,A,B,C,D,F,N
2020-03-08 16:51:37,001214,B,0.00,0.85,0.14,0.00,0.00,0.00
2020-03-08 16:56:37,000001,C,0.01,0.15,0.82,0.02,0.00,0.00
2020-03-08 16:58:30,000002,B,0.01,0.95,0.02,0.00,0.00,0.01
2020-03-08 17:10:56,000003,C,0.15,0.38,0.44,0.02,0.00,0.00
2020-03-08 17:11:29,000004,C,0.01,0.00,0.72,0.23,0.01,0.02
2020-03-08 17:12:34,000005,N,0.01,0.00,0.00,0.00,0.00,0.98
2020-03-08 17:18:50,000006,B,0.17,0.41,0.35,0.03,0.01,0.03
2020-03-08 17:27:12,000007,N,0.09,0.25,0.18,0.06,0.01,0.40
2020-03-08 17:30:47,000008,B,0.01,0.76,0.19,0.05,0.00,0.00
2020-03-08 17:30:58,000009,B,0.04,0.63,0.26,0.06,0.00,0.00
2020-03-08 17:31:03,000010,B,0.22,0.75,0.02,0.01,0.00,0.00
2020-03-08 17:31:21,000011,B,0.28,0.70,0.02,0.00,0.00,0.00
2020-03-08 17:32:34,000012,A,0.93,0.03,0.00,0.00,0.00,0.04
2020-03-08 17:33:05,000013,A,0.45,0.27,0.25,0.02,0.00,0.00
2020-03-08 17:33:37,000014,B,0.19,0.65,0.14,0.02,0.00,0.00
2020-03-08 17:33:43,000015,B,0.17,0.82,0.01,0.00,0.00,0.00
2020-03-08 17:33:51,000016,C,0.00,0.11,0.85,0.03,0.00,0.00
2020-03-08 17:35:00,000017,B,0.47,0.48,0.04,0.00,0.00,0.00
2020-03-08 17:35:13,000018,A,0.55,0.43,0.01,0.00,0.00,0.00
2020-03-08 17:46:35,000019,C,0.00,0.02,0.97,0.01,0.00,0.00
2020-03-08 17:50:26,000020,B,0.20,0.78,0.02,0.00,0.00,0.00
2020-03-08 17:51:30,000021,B,0.04,0.58,0.36,0.01,0.00,0.00
2020-03-08 17:51:41,000022,B,0.39,0.61,0.00,0.00,0.00,0.00
2020-03-08 17:51:46,000023,A,0.99,0.01,0.00,0.00,0.00,0.00
2020-03-08 17:51:52,000024,A,0.97,0.03,0.00,0.00,0.00,0.00
2020-03-08 17:52:24,000025,N,0.01,0.00,0.00,0.00,0.01,0.98
2020-03-08 17:52:37,000026,N,0.03,0.00,0.00,0.00,0.00,0.97
2020-03-08 17:52:45,000027,N,0.28,0.00,0.00,0.00,0.00,0.71
2020-03-08 17:53:08,000028,A,0.92,0.07,0.01,0.00,0.00,0.00
2020-03-08 17:53:51,000029,A,0.62,0.03,0.01,0.01,0.01,0.33
2020-03-08 17:54:19,000030,B,0.03,0.88,0.08,0.00,0.00,0.00
2020-03-08 17:54:33,000031,B,0.01,0.73,0.24,0.02,0.00,0.00
2020-03-08 17:54:41,000032,B,0.01,0.58,0.34,0.07,0.00,0.00
2020-03-08 17:54:57,000033,C,0.00,0.07,0.80,0.13,0.00,0.00
2020-03-08 17:55:16,000034,D,0.08,0.07,0.37,0.42,0.04,0.02
2020-03-08 17:57:52,000037,A,0.82,0.03,0.02,0.01,0.01,0.11
2020-03-08 17:58:42,000038,N,0.00,0.00,0.00,0.00,0.01,0.99
2020-03-08 17:58:59,000039,N,0.06,0.00,0.00,0.00,0.01,0.93
2020-03-08 17:59:35,000040,A,0.79,0.20,0.00,0.00,0.00,0.00
2020-03-08 18:00:51,000041,A,0.83,0.16,0.00,0.00,0.00,0.00
2020-03-08 18:01:17,000042,B,0.44,0.45,0.08,0.01,0.01,0.01
2020-03-08 18:01:28,000043,N,0.00,0.00,0.00,0.00,0.00,1.00
2020-03-08 18:02:03,000044,N,0.00,0.00,0.00,0.00,0.00,1.00
2020-03-08 18:02:11,000045,A,0.75,0.00,0.00,0.00,0.01,0.24
2020-03-08 18:02:36,000046,N,0.00,0.00,0.00,0.00,0.00,1.00
2020-03-08 18:02:49,000047,N,0.00,0.00,0.00,0.00,0.00,1.00
2020-03-08 18:03:18,000048,A,0.96,0.04,0.00,0.00,0.00,0.00
2020-03-08 18:03:35,000049,N,0.00,0.00,0.00,0.00,0.00,1.00
2020-03-08 18:03:43,000050,N,0.00,0.00,0.00,0.00,0.01,0.99
2020-03-08 18:04:03,000051,N,0.00,0.00,0.00,0.00,0.00,1.00
2020-03-08 18:05:38,000052,B,0.00,0.56,0.38,0.05,0.01,0.00
2020-03-08 18:06:09,000053,B,0.13,0.75,0.08,0.02,0.01,0.00
2020-03-08 18:08:56,000054,A,0.44,0.44,0.08,0.03,0.00,0.00
2020-03-08 18:09:13,000055,C,0.01,0.10,0.66,0.22,0.01,0.00
2020-03-08 18:09:22,000056,C,0.09,0.32,0.55,0.04,0.00,0.00
2020-03-08 18:09:29,000057,A,0.98,0.02,0.00,0.00,0.00,0.00
2020-03-08 18:09:35,000058,A,1.00,0.00,0.00,0.00,0.00,0.00
2020-03-08 18:09:47,000059,A,0.63,0.01,0.00,0.00,0.01,0.35
2020-03-08 18:12:33,000060,N,0.00,0.00,0.00,0.00,0.00,1.00
2020-03-08 18:15:33,000061,N,0.26,0.00,0.00,0.00,0.02,0.72
2020-03-08 18:15:54,000062,N,0.00,0.00,0.00,0.00,0.00,1.00
2020-03-08 18:17:35,000063,N,0.00,0.00,0.00,0.00,0.00,1.00
2020-03-08 18:19:35,000064,B,0.25,0.50,0.24,0.01,0.01,0.00
2020-03-08 18:25:21,000065,F,0.04,0.05,0.30,0.06,0.31,0.24
2020-03-08 21:04:14,000044,N,0.00,0.00,0.00,0.00,0.00,1.00
2020-03-08 21:04:27,000045,A,0.75,0.00,0.00,0.00,0.01,0.24
2020-03-08 21:04:34,000046,N,0.00,0.00,0.00,0.00,0.00,1.00
2020-03-08 21:04:41,000047,N,0.00,0.00,0.00,0.00,0.00,1.00
2020-03-08 21:05:02,000052,B,0.00,0.56,0.38,0.05,0.01,0.00
