Time,ID,Action,Weight (kg),Weight (g)
2019-11-23 17:14:02,000000,scale reset,0.004,
2019-11-23 17:16:01,000001,food added,,78.35
2019-11-23 17:19:24,,weight checked,0.101,
2019-11-23 17:24:24,,weight checked,0.125,
2019-11-23 17:24:51,000002,food added,,87.85
2019-11-23 17:25:32,000003,food added,,86.07
2019-11-23 17:29:05,000004,food added,,18.19
2019-11-23 17:29:24,,weight checked,0.324,
2019-11-23 17:29:53,000005,food added,,110.00
2019-11-23 17:30:13,000006,food added,,253.81
2019-11-23 17:30:23,000007,food added,,76.70
2019-11-23 17:31:56,000008,food added,,110.07
2019-11-23 17:32:56,000009,food added,,115.50
2019-11-23 17:33:52,000010,food added,,138.48
2019-11-23 17:34:08,000011,food added,,51.90
2019-11-23 17:34:14,000012,food added,,91.13
2019-11-23 17:34:24,,weight checked,1.263,
2019-11-23 17:37:18,000013,food added,,146.05
2019-11-23 17:37:58,000014,food added,,19.23
2019-11-23 17:39:24,,weight checked,1.454,
2019-11-23 17:40:30,000015,food added,,23.68
2019-11-23 17:44:24,,weight checked,1.495,
2019-11-23 17:48:55,000016,food added,,80.53
2019-11-23 17:49:24,,weight checked,1.588,
2019-11-23 17:50:23,000017,food added,,29.90
2019-11-23 17:51:10,000018,food added,,47.92
2019-11-23 17:51:57,000019,food added,,62.41
2019-11-23 17:52:29,000020,food added,,162.80
2019-11-23 17:54:24,,weight checked,1.884,
2019-11-23 17:58:24,000021,food added,,53.56
2019-11-23 17:58:49,000022,food added,,27.03
2019-11-23 17:59:23,,weight checked,1.967,
2019-11-23 18:04:23,,weight checked,1.971,
2019-11-23 18:05:11,000023,food added,,81.10
2019-11-23 18:08:35,000024,food added,,98.68
2019-11-23 18:09:23,,weight checked,2.145,
2019-11-23 18:10:12,000025,food added,,21.52
2019-11-23 18:12:19,000026,food added,,19.18
2019-11-23 18:14:23,,weight checked,2.193,
2019-11-23 18:14:49,000027,food added,,28.16
2019-11-23 18:15:17,000028,food added,,114.77
2019-11-23 18:19:22,,weight checked,2.326,
2019-11-23 18:24:22,,weight checked,2.326,
2019-11-23 18:25:47,000029,food added,,62.56
2019-11-23 18:25:58,000030,food added,,77.73
2019-11-23 18:29:22,,weight checked,2.458,
2019-11-23 18:32:23,000031,bin removed,0,
2019-11-23 18:33:56,000032,scale reset,0.001,
2019-11-23 18:34:07,000033,food added,,9146.06
2019-11-23 18:34:15,000034,food added,,6077.36
2019-11-23 18:34:18,000035,bin removed,6.295,
2019-11-23 18:37:52,000036,scale reset,-0.001,
2019-11-23 18:42:47,,weight checked,0.257,
2019-11-23 18:47:47,,weight checked,0.516,
2019-11-23 18:52:46,,weight checked,0.654,
2019-11-23 18:57:45,,weight checked,0.733,
2019-11-23 19:02:45,,weight checked,0.771,
2019-11-23 19:07:44,,weight checked,0.778,
2019-11-23 19:12:43,,weight checked,0.773,
2019-11-23 19:17:42,,weight checked,0.756,
2019-11-23 19:22:42,,weight checked,0.727,
2019-11-23 19:27:41,,weight checked,0.697,
2019-11-23 19:32:40,,weight checked,0.672,
2019-11-23 19:37:39,,weight checked,0.654,
2019-11-23 19:42:39,,weight checked,0.627,
2019-11-23 19:47:38,,weight checked,0.602,
2019-11-23 19:52:37,,weight checked,0.574,
2019-11-23 19:57:37,,weight checked,0.547,
2019-11-23 20:02:36,,weight checked,0.527,
2019-11-23 20:07:36,,weight checked,0.502,
2019-11-23 20:12:35,,weight checked,0.484,
2019-11-23 20:17:34,,weight checked,0.472,
2019-11-23 20:22:34,,weight checked,0.462,
2019-11-23 20:27:33,,weight checked,0.458,
2019-11-23 20:32:33,,weight checked,0.454,
2019-11-23 20:37:32,,weight checked,0.451,
2019-11-23 20:42:32,,weight checked,0.454,
2019-11-23 20:47:31,,weight checked,0.452,
2019-11-23 20:52:31,,weight checked,0.454,
2019-11-23 20:57:30,,weight checked,0.455,
2019-11-24 06:02:00,000037,scale reset,-0.002,
2019-11-24 06:07:25,,weight checked,-0.004,
2019-11-24 06:12:24,,weight checked,-0.009,
2019-11-24 06:17:24,,weight checked,-0.009,
2019-11-24 06:22:23,,weight checked,-0.025,
2019-11-24 06:27:22,,weight checked,-0.030,
2019-11-24 06:32:22,,weight checked,-0.036,
2019-11-24 06:37:21,,weight checked,-0.042,
2019-11-24 06:42:21,,weight checked,-0.051,
2019-11-24 06:47:20,,weight checked,-0.061,
2019-11-24 06:52:19,,weight checked,-0.072,
2019-11-24 06:57:19,,weight checked,-0.084,
2019-11-24 07:02:18,,weight checked,-0.096,
2019-11-24 07:07:18,,weight checked,-0.105,
2019-11-24 07:12:17,,weight checked,-0.115,
2019-11-24 07:17:16,,weight checked,-0.121,
2019-11-24 07:22:16,,weight checked,-0.136,
2019-11-24 07:27:15,,weight checked,-0.145,
2019-11-24 07:32:15,,weight checked,-0.155,
2019-11-24 07:37:14,,weight checked,-0.159,
2019-11-24 07:42:14,,weight checked,-0.161,
2019-11-24 07:47:13,,weight checked,-0.165,
2019-11-24 07:52:13,,weight checked,-0.168,
2019-11-24 07:57:12,,weight checked,-0.173,
2019-11-24 08:01:59,000038,scale reset,-0.000,
2019-11-24 08:07:24,,weight checked,-0.018,
2019-11-24 08:12:23,,weight checked,-0.012,
2019-11-24 08:17:22,,weight checked,-0.011,
2019-11-24 08:22:22,,weight checked,-0.011,
2019-11-24 08:27:21,,weight checked,-0.012,
2019-11-24 08:32:21,,weight checked,-0.011,
2019-11-24 08:35:16,000039,food added,,108.60
2019-11-24 08:37:20,,weight checked,0.080,
2019-11-24 08:42:20,,weight checked,0.073,
2019-11-24 08:47:19,,weight checked,0.071,
2019-11-24 08:52:19,,weight checked,0.077,
2019-11-24 08:57:00,000040,food added,,68.28
2019-11-24 08:57:18,,weight checked,0.140,
2019-11-24 09:02:18,,weight checked,0.137,
2019-11-24 09:06:19,000041,food added,,215.85
2019-11-24 09:07:18,,weight checked,0.326,
2019-11-24 09:09:06,000042,food added,,87.33
2019-11-24 09:12:17,,weight checked,0.398,
2019-11-24 09:17:17,,weight checked,0.407,
2019-11-24 09:18:56,000043,food added,,94.99
2019-11-24 09:20:29,000044,food added,,143.09
2019-11-24 09:20:36,000045,food added,,83.68
2019-11-24 09:22:16,,weight checked,0.710,
2019-11-24 09:27:16,,weight checked,0.712,
2019-11-24 09:32:15,,weight checked,0.716,
2019-11-24 09:37:15,,weight checked,0.710,
2019-11-24 09:42:14,,weight checked,0.720,
2019-11-24 09:47:14,,weight checked,0.723,
2019-11-24 09:52:13,,weight checked,0.724,
2019-11-24 09:57:13,,weight checked,0.723,
2019-11-24 10:02:12,,weight checked,0.720,
2019-11-24 10:07:12,,weight checked,0.718,
2019-11-24 10:12:11,,weight checked,0.711,
2019-11-24 10:15:48,000046,food added,,70.13
2019-11-24 10:17:11,,weight checked,0.769,
2019-11-24 10:22:10,,weight checked,0.768,
2019-11-24 10:27:09,,weight checked,0.759,
2019-11-24 10:32:09,,weight checked,0.756,
2019-11-24 10:35:08,000047,food added,,181.01
2019-11-24 10:37:09,,weight checked,0.914,
2019-11-24 10:42:08,,weight checked,0.912,
2019-11-24 10:47:08,,weight checked,0.909,
