Time,ID,Action,Weight (kg),Weight (g)
2019-11-03 22:59:34,000000,scale reset,0.001,
2019-11-03 23:04:03,000001,weight checked,-0.031,
2019-11-03 23:08:38,000002,weight checked,-0.034,
2019-11-03 23:13:12,000003,weight checked,-0.035,
2019-11-03 23:17:46,000004,weight checked,-0.034,
2019-11-03 23:22:21,000005,weight checked,-0.033,
2019-11-03 23:26:55,000006,weight checked,-0.033,
2019-11-03 23:31:29,000007,weight checked,-0.034,
2019-11-03 23:36:04,000008,weight checked,-0.034,
2019-11-03 23:40:38,000009,weight checked,-0.034,
2019-11-03 23:45:12,000010,weight checked,-0.034,
2019-11-03 23:49:46,000011,weight checked,-0.036,
2019-11-03 23:54:21,000012,weight checked,-0.036,
2019-11-03 23:58:55,000013,weight checked,-0.035,
2019-11-04 00:03:29,000014,weight checked,-0.032,
2019-11-04 00:07:02,000015,food added,,159.93
2019-11-04 00:08:04,000016,weight checked,-0.393,
2019-11-04 00:11:32,000017,bin removed,0.42,
2019-11-04 00:12:42,000018,scale reset,-0.001,
2019-11-04 00:12:48,000019,food added,,854.30
2019-11-04 00:26:59,000020,261 kg,-0.4978 g,
2019-11-04 00:28:40,000021,scale reset,-0.002,
2019-11-04 00:30:29,000022,scale reset,0.000,
2019-11-04 00:34:45,000023,0.09,scale reset,
2019-11-04 00:39:19,000024,weight checked,-0.010,
2019-11-04 00:39:56,000025,food added,,87.23
2019-11-04 00:40:05,000026,bin removed,-0.07,
2019-11-04 00:40:49,000027,scale reset,0.000,
2019-11-04 00:45:19,000028,weight checked,0.008,
2019-11-04 00:49:53,000029,weight checked,0.012,
2019-11-04 00:54:28,000030,weight checked,0.018,
2019-11-04 00:59:02,000031,weight checked,0.011,
2019-11-04 01:03:36,000032,weight checked,0.010,
2019-11-04 01:08:10,000033,weight checked,0.014,
2019-11-04 01:12:45,000034,weight checked,0.011,
2019-11-04 01:17:19,000035,weight checked,0.009,
2019-11-04 01:21:53,000036,weight checked,0.012,
