Time (h),Reading (kg),Average (kg),Delta (g)
0.0089,-0.0151,-0.019,1.6
0.0092,0.0002,-0.0109,9.6
0.0094,0.0058,-0.0002,18
0.0097,0.016,0.0077,16.5
0.01,0.0203,0.0143,13.6
0.0103,0.0259,0.0205,12.2
0.0106,0.0284,0.026,10.6
0.0108,0.0334,0.0306,9
0.0111,0.0341,0.0341,7.2
0.0114,0.0408,0.0368,5.6
0.0117,0.0461,0.0407,6.1
0.0119,0.0469,0.0437,6.5
0.0122,0.0497,0.0455,4
0.0125,0.0512,0.0485,4.8
0.0128,0.0522,0.0504,4.2
0.0131,0.0569,0.0527,3.6
0.0133,0.059,0.0557,4.7
0.0136,0.0575,0.0571,3.9
0.0139,0.0591,0.058,1.7
0.0142,0.0606,0.0596,2.2
0.0144,0.0618,0.0612,2.8
0.0147,0.0639,0.0633,3.4
0.015,0.0682,0.0646,2.9
0.0153,0.0702,0.0662,2.7
0.0156,0.068,0.0675,2.6
0.0158,0.0691,0.0687,2.2
0.0161,0.0714,0.0694,1.7
0.0164,0.0679,0.0702,1.4
0.0167,0.0732,0.0712,1.3
0.0169,0.0737,0.0719,1.4
0.0172,0.0754,0.0731,1.6
0.0175,0.0776,0.0743,2
0.0178,0.077,0.0747,1.3
0.0181,0.078,0.0767,2.2
0.0183,0.0777,0.0776,2.6
0.0186,0.0802,0.0782,1.3
0.0189,0.0786,0.0792,1.5
0.0192,0.083,0.0799,1.3
0.0194,0.0812,0.0811,1.9
0.0197,0.0812,0.0818,1.9
0.02,0.0864,0.0832,1.8
0.0203,0.0841,0.0845,2.4
0.0206,0.0842,0.0849,1.7
0.0208,0.0878,0.0849,0.3
0.0211,0.0862,0.0853,0.2
0.0214,0.0866,0.0865,1.6
0.0217,0.0897,0.0876,2
0.0219,0.0905,0.0884,2
0.0222,0.0878,0.0888,1
0.0225,0.0877,0.0882,-0.3
0.0228,0.0924,0.0893,0.6
0.0231,0.093,0.0909,2.9
0.0233,0.0922,0.091,1.4
0.0236,0.0925,0.0913,0.1
0.0239,0.0925,0.0926,1.6
0.0242,0.0915,0.0932,1.9
0.0244,0.0944,0.0932,0.3
0.0247,0.0947,0.0941,0.8
0.025,0.0992,0.0953,1.7
0.0253,0.099,0.0974,2.9
0.0256,0.0987,0.0983,2.7
0.0258,0.0977,0.0984,0.8
0.0261,0.0973,0.0986,0
0.0264,0.1,0.0999,1.4
0.0267,0.1023,0.1012,2.5
0.0269,0.1004,0.1018,1.7
0.0272,0.102,0.103,1.7
0.0275,0.104,0.1037,1.6
0.0278,0.1015,0.1038,0.9
0.0281,0.1085,0.104,0.5
0.0283,0.1053,0.1052,1.8
0.0286,0.1068,0.106,1.7
0.0289,0.106,0.1057,0.4
0.0292,0.1088,0.1064,0.3
0.0294,0.1078,0.1081,2.4
0.0297,0.1055,0.108,1
0.03,0.1097,0.1086,0.2
0.0303,0.1077,0.1088,0.9
0.0306,0.1105,0.1093,0.7
0.0308,0.1099,0.1102,1.5
0.0311,0.1115,0.1105,1
0.0314,0.1129,0.1109,0.5
0.0317,0.1146,0.1121,1.3
0.0319,0.1128,0.1135,2.4
0.0322,0.1139,0.1136,1.1
0.0325,0.116,0.1145,0.8
0.0328,0.1159,0.1153,1.7
0.0331,0.1151,0.1155,0.7
0.0333,0.1166,0.1157,0.1
0.0336,0.1193,0.1163,0.7
0.0339,0.1168,0.1173,1.7
0.0342,0.1159,0.1178,1.3
0.0344,0.119,0.1175,-0.5
0.0347,0.1203,0.1183,0.5
0.035,0.1206,0.1204,2.9
0.0353,0.1183,0.1206,2.1
0.0356,0.1196,0.1207,0.2
0.0358,0.1202,0.1219,1.3
0.0361,0.1219,0.1221,1.3
0.0364,0.1224,0.1227,0.5
0.0367,0.1228,0.1235,1.5
0.0369,0.1251,0.124,1.2
0.0372,0.126,0.1248,1.2
0.0375,0.1276,0.125,0.9
0.0378,0.1274,0.1249,-0.3
0.0381,0.1273,0.1264,1.6
0.0383,0.128,0.1273,2
0.0386,0.1285,0.1275,0.9
0.0389,0.126,0.1282,1.1
0.0392,0.1288,0.1289,1.1
0.0394,0.1312,0.1292,0.9
0.0397,0.1304,0.1295,0.5
0.04,0.1277,0.1301,1
0.0403,0.1284,0.1297,0
0.0406,0.1299,0.1299,-0.3
0.0408,0.1303,0.1313,1.7
0.0411,0.1342,0.1315,1.4
0.0414,0.1321,0.1321,0.8
0.0417,0.1309,0.1326,1.1
0.0419,0.1357,0.1337,1.6
0.0422,0.1356,0.1344,2.1
0.0425,0.1381,0.1344,0.6
0.0428,0.1375,0.1353,1
0.0431,0.1401,0.1365,2.1
0.0433,0.138,0.1365,0.7
0.0436,0.1381,0.1373,0.6
0.0439,0.1368,0.1374,0.5
0.0442,0.1407,0.1379,0.5
0.0444,0.1372,0.1392,2
0.0447,0.1385,0.1393,1.1
0.045,0.14,0.1398,0.8
0.0453,0.1413,0.1396,0.4
0.0456,0.142,0.1402,0.6
0.0458,0.142,0.1404,0.8
0.0461,0.1419,0.1412,1.1
0.0464,0.1424,0.1423,1.7
0.0467,0.1432,0.1428,1.1
0.0469,0.1434,0.1432,0.7
0.0472,0.1428,0.1436,0.8
0.0475,0.1445,0.1441,0.9
0.0478,0.1435,0.1445,0.9
0.0481,0.1443,0.1445,0
0.0483,0.144,0.1445,0.1
0.0486,0.1456,0.1452,0.9
0.0489,0.1469,0.1459,1.3
0.0492,0.1463,0.1465,1.2
0.0494,0.1482,0.1472,1.4
0.0497,0.1477,0.1476,0.9
0.05,0.1488,0.149,1.9
0.0503,0.1473,0.1487,0.9
0.0506,0.149,0.1487,-0.4
0.0508,0.1506,0.1502,1.4
0.0511,0.1499,0.1506,1.9
0.0514,0.1504,0.1507,0.6
0.0517,0.1519,0.151,0.2
0.0519,0.1522,0.1519,1.1
0.0522,0.1538,0.1527,1.2
0.0525,0.1528,0.1529,0.6
0.0528,0.1537,0.1533,0.6
0.0531,0.1505,0.1529,0.1
0.0533,0.1552,0.1529,-0.4
0.0536,0.1593,0.1548,2
0.0539,0.1554,0.156,3.1
0.0542,0.1546,0.1559,1.1
0.0544,0.1573,0.1561,0
0.0547,0.1587,0.1576,1.6
0.055,0.1564,0.1581,1.6
0.0553,0.1584,0.1581,0.5
0.0556,0.1614,0.159,0.9
0.0558,0.1611,0.159,0.8
0.0561,0.16,0.1592,0
0.0564,0.1595,0.16,1.1
0.0567,0.1579,0.1597,0.2
0.0569,0.1629,0.1601,0
0.0572,0.1623,0.1615,1.8
0.0575,0.1631,0.1615,1.2
0.0578,0.1618,0.1621,0.7
0.0581,0.164,0.1625,1
0.0583,0.1634,0.1631,0.9
0.0586,0.1631,0.1638,1.1
0.0589,0.1653,0.1642,0.9
0.0592,0.1629,0.1643,0.6
0.0594,0.1675,0.1653,0.9
0.0597,0.1686,0.1668,2.7
0.06,0.1635,0.1671,1.9
0.0603,0.1671,0.1672,0.4
0.0606,0.1676,0.1679,0.9
0.0608,0.1686,0.1678,0.6
0.0611,0.1695,0.1685,0.9
