Time (h),Reading (kg),Average (kg),Delta (g)
0.0089,-0.0147,-0.0199,0.9
0.0092,-0.0033,-0.0131,7.7
0.0094,0.0099,-0.0016,17.4
0.0097,0.0166,0.0090,20.2
0.0100,0.0265,0.0207,0.8
0.0103,0.0281,0.0253,5.4
0.0106,0.0398,0.0328,11.5
0.0108,0.0429,0.0396,13.8
0.0111,0.0480,0.0448,11.3
0.0114,0.0530,0.0497,9.2
0.0117,0.0620,0.0555,10.0
0.0119,0.0638,0.0602,9.5
0.0122,0.0695,0.0643,7.9
0.0125,0.0728,0.0697,8.9
0.0128,0.0787,0.0744,8.7
0.0131,0.0818,0.0786,8.0
0.0133,0.0892,0.0820,6.6
0.0136,0.0876,0.0856,6.7
0.0139,0.0913,0.0879,4.9
0.0142,0.0963,0.0908,4.6
0.0144,0.1029,0.0956,7.4
0.0147,0.1029,0.0989,7.3
0.0150,0.1036,0.1013,4.7
0.0153,0.1032,0.1032,3.7
0.0156,0.1074,0.1060,4.0
0.0158,0.1085,0.1093,5.7
0.0161,0.1132,0.1117,5.0
0.0164,0.1176,0.1141,4.5
