Time (h),Reading (kg),Average (kg),Delta (g)
302.866597,-0.0022,-0.0020,-0.0
302.866609,-0.0007,-0.0018,0.2
302.86662,-0.0045,-0.0022,-0.2
302.866632,-0.0051,-0.0041,-2.4
302.866644,-0.0051,-0.0057,-3.3
302.866655,-0.0082,-0.0069,-2.5
302.866667,-0.0070,-0.0084,-2.7
302.866678,-0.0120,-0.0095,-2.2
302.86669,-0.0129,-0.0116,-3.1
302.866701,-0.0134,-0.0119,-2.0
302.866713,-0.0148,-0.0124,-0.7
302.866725,-0.0158,-0.0144,-2.4
302.866736,-0.0175,-0.0154,-2.4
302.866748,-0.0174,-0.0161,-1.7
302.866759,-0.0177,-0.0169,-1.3
302.866771,-0.0166,-0.0185,-1.9
302.866782,-0.0214,-0.0194,-2.1
302.866794,-0.0192,-0.0210,-2.7
302.866806,-0.0217,-0.0215,-1.6
302.866817,-0.0255,-0.0223,-1.1
302.866829,-0.0244,-0.0241,-2.6
302.86684,-0.0301,-0.0276,-5.0
302.866852,-0.0341,-0.0309,-6.2
302.866863,-0.0381,-0.0349,-6.8
302.866875,-0.0408,-0.0395,-8.2
302.866887,-0.0451,-0.0426,-6.7
302.866898,-0.0472,-0.0450,-4.9
302.86691,-0.0487,-0.0478,-4.6
302.866921,-0.0521,-0.0495,-3.7
302.866933,-0.0496,-0.0497,-1.7
302.866944,-0.0534,-0.0497,-0.3
302.866956,-0.0527,-0.0508,-1.0
302.866968,-0.0518,-0.0511,-0.9
302.866979,-0.0509,-0.0504,0.9
302.866991,-0.0506,-0.0504,0.8
302.867002,-0.0480,-0.0503,0.2
302.867014,-0.0520,-0.0501,0.3
302.867025,-0.0505,-0.0502,-0.2
302.867037,-0.0475,-0.0500,0.0
302.867049,-0.0484,-0.0502,0.1
302.86706,-0.0488,-0.0505,-0.6
302.867072,-0.0518,-0.0501,0.2
302.867083,-0.0506,-0.0504,-0.2
302.867095,-0.0512,-0.0503,-0.0
302.867106,-0.0507,-0.0500,0.2
302.867118,-0.0505,-0.0494,0.9
302.86713,-0.0506,-0.0497,0.3
302.867141,-0.0524,-0.0504,-0.8
302.867153,-0.0496,-0.0503,-0.3
302.867164,-0.0482,-0.0496,0.9
302.867176,-0.0496,-0.0497,0.6
302.867188,-0.0514,-0.0503,-0.6
302.867199,-0.0494,-0.0502,-0.3
302.867211,-0.0492,-0.0498,0.5
302.867222,-0.0499,-0.0507,-0.6
302.867234,-0.0509,-0.0515,-1.4
302.867245,-0.0516,-0.0514,-0.5
302.867257,-0.0501,-0.0510,0.3
302.867269,-0.0473,-0.0505,1.0
302.86728,-0.0509,-0.0496,1.3
302.867292,-0.0490,-0.0498,0.3
302.867303,-0.0494,-0.0500,-0.8
302.867315,-0.0505,-0.0491,0.8
302.867326,0.1336,-0.0383,11.5
302.867338,2.7469,1.0454,1094.4
302.86735,3.9884,2.7171,2729.1
302.867361,6.4105,4.6836,3340.1
302.867373,6.4150,6.3858,3338.3
302.867384,6.4168,6.4141,1351.9
302.867396,6.4155,6.4160,4.6
302.867407,6.4169,6.4178,-1.0
302.867419,6.4154,6.4167,-2.1
302.867431,6.4174,6.4170,-0.5
302.867442,6.4184,6.4175,1.2
302.867454,6.4175,6.4177,0.6
302.867465,6.4209,6.4185,0.9
302.867477,6.4212,6.4194,1.8
302.867488,7.3794,6.5155,96.5
302.8675,12.4099,7.9299,1510.2
302.867512,15.4104,12.4801,5883.8
302.867523,15.4176,15.3674,6708.9
302.867535,15.4229,15.4195,2164.5
302.867546,15.4218,15.4220,17.7
302.867558,18.1583,15.6304,208.4
302.867569,20.0587,17.7866,2364.7
302.867581,20.0388,19.9704,4193.2
302.867593,20.0404,20.0397,1791.6
302.867604,20.0404,20.0414,0.6
302.867616,20.0396,20.0413,0.3
302.867627,20.0422,20.0428,1.8
302.867639,20.0430,20.0440,2.5
302.86765,20.0433,20.0445,1.2
302.867662,20.0448,20.0446,0.6
302.867674,20.0480,20.0447,0.0
302.867685,20.0440,20.0458,1.3
302.867697,20.0455,20.0456,0.6
302.867708,20.0464,20.0453,-0.3
302.86772,20.0461,20.0461,0.8
302.867731,20.0468,20.0466,1.1
302.867743,20.0475,20.0471,1.0
302.867755,20.0485,20.0482,1.7
302.867766,20.0503,20.0483,1.0
302.867778,20.0483,20.0477,-0.4
302.867789,20.0471,20.0481,-0.1
302.867801,20.0482,20.0478,-0.1
302.867813,20.0470,20.0476,-0.4
302.867824,20.0492,20.0480,0.2
302.867836,20.0508,20.0482,0.5
302.867847,20.0489,20.0488,1.2
302.867859,20.0491,20.0489,0.5
302.86787,20.0469,20.0491,0.4
302.867882,20.0471,20.0490,-0.0
302.867894,20.0495,20.0494,0.4
302.867905,20.0486,20.0504,1.3
302.867917,20.0477,20.0504,1.1
302.867928,20.0482,20.0496,-0.5
302.86794,20.0517,20.0496,-0.2
302.867951,20.0504,20.0506,1.2
302.867963,20.0490,20.0503,0.5
302.867975,20.0497,20.0497,-1.1
302.867986,20.0520,20.0502,0.3
302.867998,20.0503,20.0505,0.7
302.868009,20.0508,20.0510,0.8
302.868021,20.0512,20.0515,0.7
302.868032,20.0536,20.0519,0.8
302.868044,20.0516,20.0517,0.3
302.868056,20.0529,20.0514,-0.5
302.868067,20.0525,20.0519,0.3
302.868079,20.0512,20.0519,0.3
302.86809,20.0531,20.0520,0.3
302.868102,20.0531,20.0522,0.4
302.868113,20.0532,20.0524,0.4
302.868125,20.0516,20.0519,-0.4
302.868137,20.0493,20.0513,-1.0
302.868148,20.0520,20.0518,0.1
