Time,ID,Action,Weight (kg),Weight (g)
2019-12-01 16:44:30,,weight checked,-0.091,
2019-12-01 16:49:30,,weight checked,-0.097,
2019-12-01 16:54:31,,weight checked,-0.098,
2019-12-01 16:58:53,000000,food added,,50.29
2019-12-01 16:59:31,,weight checked,-0.059,
2019-12-01 17:00:19,000001,food added,,112.31
2019-12-01 17:02:41,000002,food added,,113.77
2019-12-01 17:04:32,,weight checked,0.187,
2019-12-01 17:09:32,,weight checked,0.201,
2019-12-01 17:14:03,000003,food added,,115.30
2019-12-01 17:14:32,000004,food added,,45.80
2019-12-01 17:14:32,,weight checked,0.368,
2019-12-01 17:14:46,000005,food added,,30.74
2019-12-01 17:17:51,000006,food added,,121.90
2019-12-01 17:19:33,,weight checked,0.507,
2019-12-01 17:20:12,000007,food added,,44.89
2019-12-01 17:20:24,000008,food added,,108.00
2019-12-01 17:24:33,,weight checked,0.660,
2019-12-01 17:25:02,000009,food added,,28.27
2019-12-01 17:26:45,000010,food added,,78.74
2019-12-01 17:29:17,000011,food added,,67.46
2019-12-01 17:29:34,,weight checked,0.831,
2019-12-01 17:33:54,000012,food added,,51.02
2019-12-01 17:34:34,,weight checked,0.914,
2019-12-01 17:39:25,000013,food added,,101.40
2019-12-01 17:39:35,,weight checked,1.016,
2019-12-01 17:42:22,000014,food added,,46.39
2019-12-01 17:42:39,000015,food added,,42.04
2019-12-01 17:44:35,,weight checked,1.109,
2019-12-01 17:46:28,000016,food added,,77.76
2019-12-01 17:46:54,000017,food added,,72.68
2019-12-01 17:49:36,,weight checked,1.242,
2019-12-01 17:52:02,000018,food added,,143.18
2019-12-01 17:54:36,,weight checked,1.366,
2019-12-01 17:59:36,,weight checked,1.354,
2019-12-01 18:04:37,,weight checked,1.338,
2019-12-01 18:09:37,,weight checked,1.326,
2019-12-01 18:12:08,000019,food added,,147.02
2019-12-01 18:14:38,,weight checked,1.463,
2019-12-01 18:17:57,000020,food added,,51.05
2019-12-01 18:19:38,,weight checked,1.511,
2019-12-01 18:19:44,000021,food added,,44.27
2019-12-01 18:21:42,000022,food added,,56.44
2019-12-01 18:21:49,000023,food added,,497.48
2019-12-01 18:21:53,000024,food added,,52.89
2019-12-01 18:22:00,000025,food added,,329.38
2019-12-01 18:22:02,000026,food added,,67.85
2019-12-01 18:22:05,000027,bin removed,1.776,
2019-12-01 18:22:52,000028,scale reset,-0.004,
2019-12-01 18:23:12,000029,food added,,20.30
2019-12-01 18:23:34,000030,food added,,56.75
2019-12-01 18:23:39,000031,food added,,37.29
2019-12-01 18:23:42,000032,food added,,284.56
2019-12-01 18:23:44,000033,food added,,2882.01
2019-12-01 18:23:50,000034,food added,,3358.14
2019-12-01 18:23:54,000035,food added,,497.07
2019-12-01 18:23:56,000036,food added,,242.58
2019-12-01 18:23:59,000037,food added,,546.02
2019-12-01 18:24:39,,weight checked,-0.047,
2019-12-01 18:29:39,,weight checked,-0.063,
2019-12-01 18:34:40,,weight checked,-0.061,
2019-12-01 18:39:40,,weight checked,-0.056,
2019-12-01 18:44:41,,weight checked,-0.052,
2019-12-01 18:49:41,,weight checked,-0.045,
2019-12-01 18:54:41,,weight checked,-0.038,
2019-12-01 18:59:42,,weight checked,-0.030,
2019-12-01 19:04:42,,weight checked,-0.021,
