Time,ID,Action,Weight (kg),Weight (g)
2020-01-07 19:11:35,000000,scale reset,0.001,
2020-01-07 19:16:33,,weight checked,-0.036,
2020-01-07 19:21:33,,weight checked,-0.049,
2020-01-07 19:26:34,,weight checked,-0.060,
2020-01-07 19:31:34,,weight checked,-0.063,
2020-01-07 19:36:34,,weight checked,-0.009,
2020-01-07 19:41:35,,weight checked,0.056,
2020-01-07 19:46:35,,weight checked,0.108,
2020-01-07 19:51:36,,weight checked,0.144,
2020-01-07 19:56:36,,weight checked,0.154,
2020-01-07 20:01:37,,weight checked,0.097,
2020-01-07 20:06:37,,weight checked,0.031,
2020-01-07 20:11:38,,weight checked,-0.021,
2020-01-07 20:16:38,,weight checked,-0.049,
2020-01-07 20:21:38,,weight checked,-0.058,
2020-01-07 20:26:39,,weight checked,-0.060,
2020-01-07 20:31:39,,weight checked,-0.070,
2020-01-07 20:35:26,000001,food added,,49.34
2020-01-07 20:36:40,,weight checked,-0.007,
2020-01-07 20:41:40,,weight checked,-0.033,
2020-01-07 20:46:41,,weight checked,-0.051,
2020-01-07 20:51:41,,weight checked,-0.057,
2020-01-07 20:56:42,,weight checked,-0.051,
2020-01-08 06:02:30,,weight checked,0.565,
2020-01-08 06:02:33,000002,scale reset,0.000,
2020-01-08 06:07:30,,weight checked,0.024,
2020-01-08 06:12:31,,weight checked,0.050,
2020-01-08 06:17:31,,weight checked,0.073,
2020-01-08 06:22:31,,weight checked,0.094,
2020-01-08 06:27:32,,weight checked,0.103,
2020-01-08 06:32:32,,weight checked,0.112,
2020-01-08 06:37:33,,weight checked,0.124,
2020-01-08 06:42:33,,weight checked,0.132,
2020-01-08 06:47:34,,weight checked,0.139,
2020-01-08 06:52:34,,weight checked,0.139,
2020-01-08 06:57:35,,weight checked,0.143,
2020-01-08 07:01:31,000003,food added,,22.56
2020-01-08 07:02:35,,weight checked,0.132,
2020-01-08 07:03:42,000004,food added,,20.37
2020-01-08 07:04:49,000005,food added,,74.98
2020-01-08 07:04:51,000006,bin removed,0,
2020-01-08 07:05:31,000007,scale reset,-0.001,
2020-01-08 07:07:35,,weight checked,-0.020,
2020-01-08 07:12:36,,weight checked,-0.026,
2020-01-08 07:17:36,,weight checked,-0.043,
2020-01-08 07:22:37,,weight checked,-0.056,
2020-01-08 07:27:37,,weight checked,-0.068,
2020-01-08 07:32:38,,weight checked,-0.073,
2020-01-08 07:37:38,,weight checked,-0.069,
2020-01-08 07:40:30,000008,food added,,38.13
2020-01-08 07:42:39,,weight checked,-0.032,
2020-01-08 07:47:21,000009,food added,,61.28
2020-01-08 07:47:39,,weight checked,0.048,
2020-01-08 07:50:47,000010,food added,,35.93
2020-01-08 07:50:58,000011,food added,,53.73
2020-01-08 07:52:41,,weight checked,0.196,
2020-01-08 07:52:41,000012,food added,,53.02
2020-01-08 07:57:40,,weight checked,0.235,
2020-01-08 08:00:20,000013,food added,,75.99
2020-01-08 08:02:40,,weight checked,0.314,
2020-01-08 08:05:58,000014,food added,,129.27
2020-01-08 08:07:41,,weight checked,0.445,
2020-01-08 08:12:41,,weight checked,0.451,
2020-01-08 08:17:42,,weight checked,0.451,
2020-01-08 08:21:12,000015,food added,,46.05
2020-01-08 08:21:16,000016,food added,,32.48
2020-01-08 08:22:42,,weight checked,0.572,
2020-01-08 08:24:17,000017,food added,,82.57
2020-01-08 08:24:42,000018,food added,,88.86
2020-01-08 08:27:43,,weight checked,0.751,
2020-01-08 08:32:43,,weight checked,0.780,
2020-01-08 08:37:44,,weight checked,0.793,
2020-01-08 08:38:09,000019,food added,,105.88
2020-01-08 08:42:44,,weight checked,0.894,
2020-01-08 08:43:43,000020,food added,,22.33
2020-01-08 08:47:44,,weight checked,0.918,
2020-01-08 08:49:00,000021,food added,,131.48
2020-01-08 08:49:50,000022,food added,,52.00
