Time,ID,Action,Weight (kg),Weight (g)
2019-11-24 06:02:00,000037,scale reset,-0.002,
2019-11-24 06:07:25,,weight checked,-0.004,
2019-11-24 06:12:24,,weight checked,-0.009,
2019-11-24 06:17:24,,weight checked,-0.009,
2019-11-24 06:22:23,,weight checked,-0.025,
2019-11-24 06:27:22,,weight checked,-0.030,
2019-11-24 06:32:22,,weight checked,-0.036,
2019-11-24 06:37:21,,weight checked,-0.042,
2019-11-24 06:42:21,,weight checked,-0.051,
2019-11-24 06:47:20,,weight checked,-0.061,
2019-11-24 06:52:19,,weight checked,-0.072,
2019-11-24 06:57:19,,weight checked,-0.084,
2019-11-24 07:02:18,,weight checked,-0.096,
2019-11-24 07:07:18,,weight checked,-0.105,
2019-11-24 07:12:17,,weight checked,-0.115,
2019-11-24 07:17:16,,weight checked,-0.121,
2019-11-24 07:22:16,,weight checked,-0.136,
2019-11-24 07:27:15,,weight checked,-0.145,
2019-11-24 07:32:15,,weight checked,-0.155,
2019-11-24 07:37:14,,weight checked,-0.159,
2019-11-24 07:42:14,,weight checked,-0.161,
2019-11-24 07:47:13,,weight checked,-0.165,
2019-11-24 07:52:13,,weight checked,-0.168,
2019-11-24 07:57:12,,weight checked,-0.173,
2019-11-24 08:01:59,000038,scale reset,-0.000,
2019-11-24 08:07:24,,weight checked,-0.018,
2019-11-24 08:12:23,,weight checked,-0.012,
2019-11-24 08:17:22,,weight checked,-0.011,
2019-11-24 08:22:22,,weight checked,-0.011,
2019-11-24 08:27:21,,weight checked,-0.012,
2019-11-24 08:32:21,,weight checked,-0.011,
2019-11-24 08:35:16,000039,food added,,108.60
2019-11-24 08:37:20,,weight checked,0.080,
2019-11-24 08:42:20,,weight checked,0.073,
2019-11-24 08:47:19,,weight checked,0.071,
2019-11-24 08:52:19,,weight checked,0.077,
2019-11-24 08:57:00,000040,food added,,68.28
2019-11-24 08:57:18,,weight checked,0.140,
2019-11-24 09:02:18,,weight checked,0.137,
2019-11-24 09:06:19,000041,food added,,215.85
2019-11-24 09:07:18,,weight checked,0.326,
2019-11-24 09:09:06,000042,food added,,87.33
2019-11-24 09:12:17,,weight checked,0.398,
2019-11-24 09:17:17,,weight checked,0.407,
2019-11-24 09:18:56,000043,food added,,94.99
2019-11-24 09:20:29,000044,food added,,143.09
2019-11-24 09:20:36,000045,food added,,83.68
2019-11-24 09:22:16,,weight checked,0.710,
2019-11-24 09:27:16,,weight checked,0.712,
2019-11-24 09:32:15,,weight checked,0.716,
2019-11-24 09:37:15,,weight checked,0.710,
2019-11-24 09:42:14,,weight checked,0.720,
2019-11-24 09:47:14,,weight checked,0.723,
2019-11-24 09:52:13,,weight checked,0.724,
2019-11-24 09:57:13,,weight checked,0.723,
2019-11-24 10:02:12,,weight checked,0.720,
2019-11-24 10:07:12,,weight checked,0.718,
2019-11-24 10:12:11,,weight checked,0.711,
2019-11-24 10:15:48,000046,food added,,70.13
2019-11-24 10:17:11,,weight checked,0.769,
2019-11-24 10:22:10,,weight checked,0.768,
2019-11-24 10:27:09,,weight checked,0.759,
2019-11-24 10:32:09,,weight checked,0.756,
2019-11-24 10:35:08,000047,food added,,181.01
2019-11-24 10:37:09,,weight checked,0.914,
2019-11-24 10:42:08,,weight checked,0.912,
2019-11-24 10:47:08,,weight checked,0.909,
2019-11-24 10:52:07,,weight checked,0.904,
2019-11-24 10:57:06,,weight checked,0.902,
2019-11-24 11:02:06,,weight checked,0.896,
2019-11-24 11:07:05,,weight checked,0.895,
2019-11-24 11:12:05,,weight checked,0.889,
2019-11-24 11:17:04,,weight checked,0.888,
2019-11-24 11:22:04,,weight checked,0.883,
2019-11-24 11:27:03,,weight checked,0.887,
2019-11-24 11:27:46,000048,food added,,32.76
2019-11-24 11:31:53,000049,food added,,87.88
2019-11-24 11:32:03,,weight checked,1.010,
2019-11-24 11:33:44,000050,food added,,90.42
2019-11-24 11:34:11,000051,food added,,71.63
2019-11-24 11:37:03,,weight checked,1.149,
2019-11-24 11:42:02,,weight checked,1.152,
2019-11-24 11:42:43,000052,food added,,114.10
2019-11-24 11:44:09,000053,food added,,51.46
2019-11-24 11:45:26,000054,food added,,78.48
2019-11-24 11:47:02,,weight checked,1.381,
2019-11-24 11:51:17,000055,food added,,21.86
2019-11-24 11:51:55,000056,food added,,17.18
2019-11-24 11:52:02,,weight checked,1.417,
2019-11-24 11:52:09,000057,food added,,25.10
2019-11-24 11:57:01,,weight checked,1.447,
2019-11-24 11:58:08,000058,food added,,44.48
2019-11-24 12:02:01,,weight checked,1.479,
2019-11-24 12:03:01,000059,food added,,17.30
2019-11-24 12:03:04,000060,food added,,210.60
2019-11-24 12:07:01,,weight checked,1.713,
2019-11-24 12:11:06,000061,food added,,122.50
2019-11-24 12:11:18,000062,food added,,21.18
2019-11-24 12:12:00,,weight checked,1.841,
2019-11-24 12:14:54,000063,food added,,52.84
2019-11-24 12:14:58,000064,food added,,70.58
2019-11-24 12:15:09,000065,food added,,91.15
2019-11-24 12:17:00,,weight checked,2.049,
2019-11-24 12:17:33,000066,food added,,86.31
2019-11-24 12:17:52,000067,food added,,47.26
2019-11-24 12:18:34,000068,food added,,101.22
2019-11-24 12:18:52,000069,food added,,147.41
2019-11-24 12:20:50,000070,food added,,28.43
2019-11-24 12:22:00,,weight checked,2.388,
2019-11-24 12:22:14,000071,food added,,19.62
2019-11-24 12:27:00,,weight checked,2.414,
2019-11-24 12:27:20,000072,food added,,54.74
2019-11-24 12:27:26,000073,food added,,37.45
2019-11-24 12:32:00,,weight checked,2.516,
2019-11-24 12:32:58,000074,food added,,40.85
2019-11-24 12:36:59,,weight checked,2.568,
2019-11-24 12:37:33,000075,food added,,38.06
2019-11-24 12:38:30,000076,food added,,243.01
2019-11-24 12:41:59,,weight checked,2.858,
2019-11-24 12:42:22,000077,food added,,93.04
2019-11-24 12:42:28,000078,food added,,51.17
2019-11-24 12:46:59,,weight checked,2.983,
2019-11-24 12:48:14,000079,food added,,49.18
2019-11-24 12:49:32,000080,food added,,163.06
2019-11-24 12:52:00,,weight checked,3.204,
2019-11-24 12:53:20,000082,food added,,143.70
2019-11-24 12:55:02,000083,food added,,336.29
2019-11-24 12:55:42,000084,food added,,26.89
2019-11-24 12:56:59,,weight checked,3.667,
2019-11-24 12:58:28,000085,food added,,17.60
2019-11-24 12:59:36,000086,food added,,44.81
2019-11-24 12:59:44,000087,food added,,87.99
2019-11-24 13:01:58,,weight checked,3.829,
2019-11-24 13:02:09,000088,food added,,23.65
2019-11-24 13:02:35,000089,food added,,57.05
2019-11-24 13:05:19,000090,food added,,132.85
2019-11-24 13:06:44,000091,food added,,131.23
2019-11-24 13:06:58,,weight checked,4.149,
2019-11-24 13:08:41,000092,food added,,47.14
2019-11-24 13:11:58,,weight checked,4.187,
2019-11-24 13:16:58,,weight checked,4.184,
2019-11-24 13:17:46,000093,food added,,235.91
2019-11-24 13:21:57,,weight checked,4.413,
2019-11-24 13:26:57,,weight checked,4.413,
2019-11-24 13:31:57,,weight checked,4.410,
2019-11-24 13:36:56,,weight checked,4.404,
